# confirmationNo|name|phone|loyaltyTier|billingAmount
20260701|Tan Wei Ling|012-3456789|NONE|0.0
20260702|Nurul Aisyah|013-2345678|Diamond|0.0
20260703|Rajesh Kumar|016-7891234|Platinum|0.0
20260704|Chong Mei Yee|011-9988776|NONE|0.0
20260705|Ahmad Faiz|019-2233445|Elite|0.0
20260706|Elwin|0123456789|NONE|0.0
12345678|Kaizen|0122720566|PLatinum|12345.0
123456789|Gobi|01345678789|DiAmond|1234467.0
12345678|Kaizen|0122720566|Silver|12.0
12345678|Kaizen|0122720566|Elite|1234.0
87654321|Nick Her|0129986767|Diamond|3123.0
